tweet,likes,retweet_count,state,state_code,ORIGIN,polarity,subjectivity
" This is how #Biden made his ! #TrumpIsNotAmerica ! https://t.co/uBqAFU86Ip",0.0,0.0,Montana,MT,biden_csv,,,
"#censorship #HunterBiden #Biden #BidenEmails #BidenEmail #Corruption https://t.co/C6clrtshQl",1.0,0.0,California,CA,biden_csv,,,
In 2020  #NYPost is being #censorship #CENSORED by Twitter to manipulate a US election in favor of #JoeBiden and against #Trump. but CCP from #China or porn on Twitter? That’s always been fine for is sick?,0.0,0.0,Illinois,IL,biden_csv,,,
FBI Allegedly Obtained Hunter Biden Computer  Data on Ukraine Dealings  Report Claims #JoeBiden #HunterBiden https://t.co/pDNmB0NqRU,0.0,0.0,Kentucky,KY,biden_csv,,,
Comments on this? Do Democrats Understand how Ruthless China is? https://t.co/QevK00yhs3 #China #HunterBiden #JoeBiden #BidenHarris #BidenHarris2020 #TrumpPence2020 #Trump #realDonaldTrump #WTO #coronavirus #trade https://t.co/Wjm1hyTFNZ,0.0,0.0,Florida,FL,biden_csv,,,
In an effort to find the truth about allegations that isnt allowing people to share the link to a article about Hunter Biden  this is what popped up #NYPost #HunterBiden #Biden #Election2020 https://t.co/yYImdZrOKz,1.0,0.0,Illinois,IL,biden_csv,,,
Twitter is doing everything they can to help Democrats win the election. Making sure nobody sees a negative story about Biden. Only Negative stories on Trump. #TwitterCensorship #Biden #Ukraine #HunterBiden https://t.co/dbLKQBMvRU,1.0,0.0,California,CA,biden_csv,,,
" #BidenCrimeFamily #JoeBiden #HunterBiden #HunterBidenEmails https://t.co/ottX1yP37j",0.0,0.0,California,CA,biden_csv,,,
VOTE FOR #JoeBiden https://t.co/IIROoL5U0O,9.0,5.0,Florida,FL,biden_csv,,,
"#Trump is tearing up #Biden at the #TrumpRally over the #HunterBidenEmails",0.0,1.0,California,CA,biden_csv,,,
Come on PLEASE DO THE RIGHT THING. Move the #biden town hall. I bet a requirement for Orange Monkey to do the NBC town hall was to have it opposite Biden. PLEASE MOVE YOURS.,0.0,0.0,New York,NY,biden_csv,,,
"#realDonaldTrump addresses #JoeBiden and #HunterBiden corruption  more proof of which discovered on a laptop. #ObamaBidenGate #NYPost #MSNBC #CBS #NBC #ABC #FoxNews #KamalaHarris https://t.co/7RtMOdoXGd",0.0,1.0,Minnesota,MN,biden_csv,,,
A simple question. Who are you voting for? #2020Election #DonaldTrump #JoeBiden #uspoli #mapoli,1.0,1.0,Massachusetts,MA,biden_csv,,,
" since you are censoring free speech  in regards to the #JoeBiden email scandal  I opened up a account. I wouldnt have done it without your motivation! #Parler #censorship #Twitter #Conservative",0.0,0.0,Minnesota,MN,biden_csv,,,
Has this awoken you from your slumbers yet Getting to the point where even you may have to file a negative story about #Biden! https://t.co/Y54y25n6dU,1.0,0.0,Virginia,VA,biden_csv,,,
Hunter Biden emails demonstrate the crooked Biden family. #Biden,0.0,0.0,Florida,FL,biden_csv,,,
Hunter #Biden introduced his father  then-Vice President Joe Biden  to a top executive at a Ukrainian energy firm less than a year before the elder Biden pressured government officials in Ukraine into firing a prosecutor who was investigating the company  according to emails,1.0,0.0,New York,NY,biden_csv,,,
This is from the same night I met the cast of #TWW and I was wearing the same shirt as #VOTE #voteblue #JoeBiden #LoveTrumpsHate https://t.co/aESuB1ipBq,0.0,0.0,Indiana,IN,biden_csv,,,
" #TrumpIsALaughingStock at his Iowa cult rally compared #JoeBiden to Putin  XI  and Kim Jong-un. In the same sentence he called shot and all 3 communist leaders SHARP #TrumpIsANationalDisgrace",0.0,0.0,Florida,FL,biden_csv,,,
These are #Biden people with bats. https://t.co/1UCaX1HvhC,0.0,0.0,South Carolina,SC,biden_csv,,,
The reason why Twitter has locked the New York Post account is because the Post is reporting on explosive new revelations that prove #JoeBiden lied to coverup his corrupt and illegal activity as Vice President. https://t.co/VEaoC6PrTU,0.0,0.0,Arkansas,AR,biden_csv,,,
Laptop computer abandoned at Delaware repair shop contains #emails between #HunterBiden &amp; senior #Burisma #adviser indicating Hunter arranged a meeting between then VP #JoeBiden &amp; the adviser in Washington  DC in 2015. Joe Biden Calls a Lid &amp; Hides https://t.co/X1ynqJzbUN,1.0,1.0,Washington,WA,biden_csv,,,
"#Biden lied https://t.co/Lqy0TBpXkg",3.0,0.0,Georgia,GA,biden_csv,,,
Vice President #Biden is 77 years young. I am willing to bet that he has a long list of things he’d rather focus on and enjoy life  than cleaning up the deadly mess left by spineless republicans and #DonTheCon His only motive is to #BuildBackBetter #VoteForDemocracy #Vote,0.0,0.0,California,CA,biden_csv,,,
Twazis says they blocked NY Posts #HunterBiden story cuz they block stories with stolen info. Lets test their theory &amp; #Leftist agenda in protecting #Biden with the story by the #NYPost on STOLEN secret audio tapes of #Trump! #LiberalPrivilege #MAGA https://t.co/bWriPoqI0d,19.0,16.0,South Carolina,SC,biden_csv,,,
" You’re not helping #Biden lmao. On the contrary.",0.0,0.0,Texas,TX,biden_csv,,,
" Where’s #JoeBiden hiding out? https://t.co/GWfbafFRCD",0.0,0.0,Ohio,OH,biden_csv,,,
So the #FBI received the LAPTOP with the EMAILS and instead of acting on behalf of the American people and pursuing justice  they pushed it under the rug to cover up for #JoeBiden #HunterBidenEmails #ChristopherWray Resign Now!,0.0,0.0,Arizona,AZ,biden_csv,,,
"#Trump has been banging on about the #China #Biden connection from the outset but was played down by #MSM as usual! https://t.co/SiqWtxj66d",0.0,0.0,Virginia,VA,biden_csv,,,
And Trump claims Biden has dementia? #DonaldOut #TrumpRally #trumpDementia #Biden #Vote #TrumpIsNotAmerica #MAGA #StopTrumpsTerror https://t.co/cuvce2uIpT,1.0,0.0,Maryland,MD,biden_csv,,,
"#TuckerCarlson is smashing the suppression by #Facebook and #Twitter of #Biden corruption influence-peddling scheme.",1.0,0.0,New York,NY,biden_csv,,,
How could #Facebook and #Twitter make the news about #HunterBiden and #Biden pay for play go viral? START CENSORING THE STORY The concept of backfiring still has not gotten through to people who want to suppress voices because their undies are in a knot.,1.0,0.0,New Jersey,NJ,biden_csv,,,
On Tuesday  November 8  I stopped by the store &amp; got myself a single slice of chocolate cake to celebrate as won the presidency. I threw that slice in the trash on 11/9/16  but I will be buying a whole damn cake on November 3  2020. #BidenHarris2020 #Biden #vote,1.0,0.0,Montana,MT,biden_csv,,,
" Disclaimer  totally support dems this #Election2020 but will watch #Trump #FlameShow to nurture the paranoia #Confidence in #JoeBiden lets me do this - it’s not all media numbers  it’s real",0.0,0.0,Virginia,VA,biden_csv,,,
"#HunterBiden #JoeBiden #CorruptDemocrats #Ukraine #bribery #VOTE #Election2020 https://t.co/nSnYm9a94s",2.0,1.0,Illinois,IL,biden_csv,,,
The 6 most misleading claims from #JoeBiden: #VoteGOP #TrumpPence2020 https://t.co/3xlz5yjOzX,0.0,0.0,Pennsylvania,PA,biden_csv,,,
Bye Bye #Biden Watching - Devastating,0.0,0.0,New York,NY,biden_csv,,,
" Actually  the President was impeached to cover the Lies by #JoeBiden   Obama and Hillary Clinton There  I fixed it for you #FakeNews #EnemyOfThePeople #mediahack",17.0,7.0,Montana,MT,biden_csv,,,
" Yeah  wonder if the voters would have voted that way knowing that #Biden is a crook. #NYPost",1.0,0.0,Virginia,VA,biden_csv,,,
" Impeached our president for something #JoeBiden did. We can’t let this stand",0.0,0.0,Maryland,MD,biden_csv,,,
" Doing the right thing for my county is easy hoping other due the same. A vote for #Biden will mean less trash more class in the White House. May I never read another foreign paper making fun of us again. #BidenHarrisToSaveAmerica",0.0,0.0,New York,NY,biden_csv,,,
I think I finally found what’s wrong with #JoeBiden besides #dementia this would explain his uncanny ability to lie for 40 years https://t.co/P09z1NDlAG,1.0,1.0,South Carolina,SC,biden_csv,,,
This man is in the wrong profession! He’s a comedian! #JoeBiden #Trump https://t.co/eWmLOvYTpQ,0.0,0.0,North Carolina,NC,biden_csv,,,
" how much is the #JoeBiden campaign paying you to ‘try’ to diffuse the #HunterBiden bombshell?",0.0,0.0,Ohio,OH,biden_csv,,,
